link,category,title,information,original_price,discount_price
https://www.trendyol.com//maybelline-new-york/kapatici-instant-age-eraser-concealer-03-fair-6-8-ml-3600530733866-p-5217307?boutiqueId=528647&merchantId=107819,Kapatıcı,Kapatıcı - Instant Age Eraser Concealer 03 Fair 6.8 ml 3600530733866 IARCNCLR,"Instant Anti Age Eraser Kapatıcı ile ister kusurları gizle, ister cildini aydınlat ve kontür yap Mat ve yorgun cildi aydınlatır, cilt kusurlarını kapatarak cilt tonunu eşitler ve mükemmel bir cilt görünümü sağlar Göz altı şişkinliklerini, göz altındaki ince çizgileri ve koyu halkaları gizler Goji berry içeren özel formülüyle aydınlık ve tazelenmiş bir görünüm sağlarİkonik sünger ucuyla kolay uygulama sunar Instant Anti Age Eraser Kapatıcı, yüksek kapatıcılığıyla her an yanında Amabalajı açılan ürünlerin iadesi kabul edilmemektedir Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","72,90 TL","43,90 TL"
https://www.trendyol.com//maybelline-new-york/lash-sensational-yelpaze-etkili-intense-black-maskara-ekstra-siyah-3600531230906-p-1263063?boutiqueId=528647&merchantId=107819,Maskara,Lash Sensational Yelpaze Etkili Intense Black Maskara - Ekstra Siyah 3600531230906,"Tek tek ayrılmış, dolgun ve hacimli kirpikler için Lash Sensational Ekstra Siyah Maskara. Çok sevdiğin etki şimdi yaban gülü yağı içeren formül ve yenilenen ambalajıyla. Ekstra Siyah formülü ve yelpaze etkili fırçası ile en kısa kirpikleri bile yakalar, farklı kirpik tiplerinde mükemmel sonuç verir. Yaban gülü yağı içeren formülü sayesinde kirpiklerde ağırlık hissi bırakmaz. 1. Adım: Fırçanın iç tarafı ile kirpik köklerine ulaşabilir, en kısa kirpiklerini bile ortaya çıkarabilirsin. 2. Adım: Fırçanın dış tarafı ile dış kirpikleri yakalayabilir ve kirpiklerine dolgun bir görünüm verebilirsin. Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","69,90 TL","42,90 TL"
https://www.trendyol.com//l-oreal-paris/paris-nem-terapisi-aloe-vera-suyu-70-ml-p-2279199?boutiqueId=528647&merchantId=107819,Nemlendirici Krem,Paris Nem Terapisi Aloe Vera Suyu 70 ml C5,"Anında nemlendirir ve ferahlatır. su bazlı likit dokusu anında emilir ve yoğun bir şekilde nem sağlarken anında ferahlık verir. . Cilde nemi hapseder. ışıltılı bir cilt için yoğun bir şekilde etki eden formülü ile nemi cilde hapseder. her sabah ve akşam, temiz ve kuru cildinize uygulayın. yüzünüze ve boynunuza dairesel hareketlerle masaj yaparak cildinize daha iyi nüfuz etmesini sağlayın. %100 orijinaldir. Ambalajı açılan ürünlerin iadesi kabul edilmemektedir. Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","84,90 TL","55,19 TL"
https://www.trendyol.com//l-oreal-paris/renk-acici-jel-casting-sunkiss-jelly-100-ml-3600522716297-p-1262398?boutiqueId=528647&merchantId=107819,Saç Boyası,Renk Açıcı Jel - Casting Sunkiss Jelly 100 ml 3600522716297,"L' Oréal Paris'İn Yeni Durulanmayan Jeli İle Saçlarınızı İki Tona Kadar Açabiliyorsunuz. Saçlarda Doğal Güneş Işığı Etkisi İçin, Amonyaksız Jel Formüle Ve Hoş Bir Kokuya Sahip Olan Ürün, Saçı Her Kullanımda Aşamalı Bir Şekilde Açarak Güneşten Açılmışçasına Doğal Bir Saç Rengine Kavuşmanızı Sağlıyor. Kamelya Yağı Ve Bakım Etmeni İle Zenginleştirilmiş Jel Uygulama Esnasında Saçlarınızın Yıpranmasını Önleyip, Bakım Yaparak Uygulamayı Keyifli Bir Deneyime Dönüştürüyor. Saç Renginin Açılma İşlemi Aşamalı Olarak Gerçekleşir. Ürün Nemli Saçlara Uygulanıp, Kurutma Makinası Ya Da Doğrudan Güneş İle Saçları Kurutarak Uygulanır. Durulanmayan Bu Ürünün Saçı Besleyici Zengin İçeriği, Saçın Daha Yumuşak Ve Parlak Olmasına Yardımcı Olur. #Özel Ürün Ambalajı açılan ürünlerin iadesi kabul edilmemektedir. Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","39,90 TL","26,95 TL"
https://www.trendyol.com//l-oreal-paris/paradise-siyah-maskara-3600523503285-p-1262524?boutiqueId=528647&merchantId=107819,Maskara,Paradise Siyah Maskara 3600523503285,"Yenilenen Paradise Yoğun Hacim Veren Maskara İle Bambaşka Bir Dünyaya Gözlerini Aç! Sizi duyduk! Paradise Maskara, besleyici yağlar sayesinde şimdi damlasına kadar kurumaya dayanıklı! Paradise Maskara'nın zamanla kurumayan, besleyici yağlarla zenginleşen yeni formülü seni bambaşka bir dünyaya davet ediyor ve bu dünyada tüm hayallerin gerçeğe dönüşüyor. Göz alıcı hacim, nefes kesen uzun ve kıvrık kirpikler sunan yeni Paradise Maskara, besleyici yağlarla zenginleştirilmiş formülü ve kıvrımlı yumuşak kıl fırçasıyla en hassas gözlere bile uygun hale getirildi! Gül yağı, hint yağı, mavi kantaron yağı ile zenginleştirilmiş formül topaklanmaya ve kurumaya dayanıklıdır. Üstelik yoğun hacim sunmasına rağmen kirpiklerde ağırlık yapmaz! Yoğun hacimli, kıvrık, uzun kirpiklerin tüy kadar hafif ve yumuşacık! Yeni Paradise Maskara ile bambaşka bir dünyaya davetlisin! - Zamanla kurumayan, geliştirilmiş formül- Nefes kesen uzun& yoğun hacimli & kıvrık kirpikler- Uygulama kolaylığı sunan kıvrımlı, yumuşak, tombul kıl fırça- En hassas gözlere bile uygun nazik formül kirpiklerde ağırlık yapmaz, topaklanmaya dayanıklıdır- Gül yağı, mavi kantaron yağı ve hint yağı içeriği Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","99,90 TL","59,94 TL"
https://www.trendyol.com//l-oreal-paris/hyaluron-expert-gunduz-gece-kremi-hyaluron-2-li-set-36005237756821-p-37826007?boutiqueId=528647&merchantId=107819,Cilt Bakım Seti,Hyaluron Expert Gündüz & Gece Kremi Hyaluron 2'li Set 36005237756821,Ambalajı açlan ürünlerin iadesi kabul edilmemektedir Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.,"149,80 TL","89,90 TL"
https://www.trendyol.com//l-oreal-paris/tum-yuze-uygulanabilir-kapatici-infaillible-more-than-concealer-322-ivory-30173576-p-5217311?boutiqueId=528647&merchantId=107819,Kapatıcı,Tüm Yüze Uygulanabilir Kapatıcı - Infaillible More Than Concealer 322 Ivory 30173576 LP_TYU_KAP,"24 saat* boyunca süper- Yüksek kapatıcılık sunan yeni ınfaillible tüm yüze uygulanabilir kapatıcı. 9 farklı rengi ile tüm yüze uygulanabilen yeni ınfaillible kapatıcı, hafif yapılı formülü ile doğal sonuç verir, yeni ınfaillible tüm yüze uygulanabilir kapatıcı, kapatıcıdan daha fazlası. . . asla daha azıyla yetinme! *tüketici testi, 135 kadınkolay uygulanan fırçasının daha fazla ürün tutma kapasitesi ve daha büyük süngeri ile tek darbede yoğun kapatıcılık sağlar. ince ama yoğun kapatıcı formülünün elastik yapısı sayesinde ciltte dağıldıkça incelir. Nemlendirici formülü doğal bir bitiş sağlar. yüksek kapatıcı formülü ciltle bütünleşerek gün boyu kusursuz bir görünüm ve kapatıcılık sağlar. Ten her cilt tipine uygun her yaşa uygun kapatıcı Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","89,90 TL","53,94 TL"
https://www.trendyol.com//elseve/kuru-ve-sert-saclar-icin-mucizevi-yag-150-ml-3600523036332-p-1068213?boutiqueId=528647&merchantId=107819,Saç Kremi,Kuru Ve Sert Saçlar İçin Mucizevi Yağ 150 Ml 3600523036332,"Değerli Çiçek Özü Yağı İle Zenginleştirilmiş Formülü, Hafif Ve İnce Dokusu İle Saçı Besler Saç Güzelleştirici Kremin Yağlı His Bırakmayan Dokusu, Saçı Ağırlaştırmaz Saça Yumuşaklık Ve Parlaklık Kazandırırken, Şekillendirmeyi Kolaylaştırır Saçı Besler, Yumuşatır, Parlatır Ve Korur Kullanım Sıklığı: Islak Saçın Tamamına Uygulayarak, Saçı Yoğun Bir Şekilde Besler Kurutmadan Önce, Saç Boy Ve Uçlarına Uygulanarak, Saçı 230 C Isıya Kadar Korur Son Dokunuşta, Saç Boy Ve Uçlarına Uygulanarak Saça Parlaklık Ve Yumuşaklık Kazandırırken Şekillendirmeyi Kolaylaştırır Saça Fındık Büyüklüğünde Uygulanmalıdır#Özel Ürün Ambalajı açılan ürünlerin iadesi kabul edilmemektedir. Ürün %100 Orijinaldir Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","26,90 TL","20,90 TL"
https://www.trendyol.com//l-oreal-paris/saf-kil-detoks-maskesi-50ml-p-1262541?boutiqueId=528647&merchantId=107819,Maske & Peeling,Saf Kil Detoks Maskesi 50ml 3600523306220,Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.,"59,90 TL","38,93 TL"
https://www.trendyol.com//nyx-professional-makeup/goz-fari-paleti-ultimate-shadow-palette-brights-800897017651-p-1137259?boutiqueId=519694&merchantId=107819,Göz Farı,Göz Farı Paleti - Ultimate Shadow Palette Brights 800897017651 NYXPMUUSP,"Profesyonel seviyede bir far paleti karşınızda! 16 birbirinden farklı bütünleyici renkler ile mat, metalik, ışıltılı ve saten sonuçların birleştiği zengin sonuç veren bu palet serisi ile istediğiniz makyajı profesyonelce elde edebilirsiniz Yumuşacık kadifemsi dokusu ve tozutmayan formülü ile mükemmel göz makyajı sizi bekliyor! Ambalajı açılan ürünlerin iadesi kabul edilmemektedir Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","129,99 TL","99,90 TL"
